#MJD		B	Berr	I	Ierr	R	Rerr	U	Uerr	V	Verr	g	gerr	r	rerr
58716.20	n	n	n	n	n	n	n	n	n	n	18.164	0.075	n	n
58720.20	n	n	n	n	n	n	n	n	n	n	18.17	0.079	n	n
58726.10	n	n	n	n	n	n	n	n	n	n	n	n	16.971	0.067
58726.20	n	n	n	n	n	n	n	n	n	n	18.24	0.097	n	n
58776.50	n	n	n	n	n	n	n	n	n	n	n	n	17.579	0.063
58779.50	n	n	n	n	n	n	n	n	n	n	18.67	0.112	n	n
58785.50	n	n	n	n	n	n	n	n	n	n	n	n	17.734	0.061
58786.50	n	n	n	n	n	n	n	n	n	n	18.839	0.316	n	n
58789.50	n	n	n	n	n	n	n	n	n	n	18.829	0.105	n	n
58792.50	n	n	n	n	n	n	n	n	n	n	18.867	0.12	17.849	0.074
58799.50	n	n	n	n	n	n	n	n	n	n	n	n	17.91	0.076
58802.50	n	n	n	n	n	n	n	n	n	n	18.894	0.159	n	n
58804.50	n	n	n	n	n	n	n	n	n	n	19.055	0.134	18.023	0.073
58805.50	n	n	n	n	n	n	n	n	n	n	19.007	0.134	n	n
58812.40	n	n	n	n	n	n	n	n	n	n	19.145	0.114	n	n
58812.60	n	n	n	n	n	n	n	n	n	n	n	n	18.122	0.067
58827.40	n	n	n	n	n	n	n	n	n	n	n	n	18.257	0.135
58828.40	n	n	n	n	n	n	n	n	n	n	n	n	18.349	0.082
58828.60	n	n	n	n	n	n	n	n	n	n	19.211	0.139	n	n
58830.50	n	n	n	n	n	n	n	n	n	n	n	n	18.368	0.072
58830.60	n	n	n	n	n	n	n	n	n	n	19.244	0.167	n	n
58831.40	n	n	n	n	n	n	n	n	n	n	n	n	18.439	0.248
58831.60	n	n	n	n	n	n	n	n	n	n	19.226	0.195	n	n
58833.40	n	n	n	n	n	n	n	n	n	n	n	n	18.451	0.137
58833.50	n	n	n	n	n	n	n	n	n	n	n	n	18.379	0.139
58833.60	n	n	n	n	n	n	n	n	n	n	19.393	0.273	n	n
58835.50	n	n	n	n	n	n	n	n	n	n	n	n	18.395	0.13
58836.50	n	n	n	n	n	n	n	n	n	n	n	n	18.44	0.079
58836.60	n	n	n	n	n	n	n	n	n	n	19.297	0.13	n	n
58838.50	n	n	n	n	n	n	n	n	n	n	n	n	18.497	0.137
58846.50	n	n	n	n	n	n	n	n	n	n	n	n	18.602	0.07
58846.60	n	n	n	n	n	n	n	n	n	n	19.414	0.12	18.67	0.087
58849.40	n	n	n	n	n	n	n	n	n	n	n	n	18.646	0.078
58849.50	n	n	n	n	n	n	n	n	n	n	19.466	0.111	n	n
58851.50	n	n	n	n	n	n	n	n	n	n	19.432	0.163	n	n
58852.50	n	n	n	n	n	n	n	n	n	n	19.486	0.13	n	n
58852.60	n	n	n	n	n	n	n	n	n	n	n	n	18.685	0.072
58855.50	n	n	n	n	n	n	n	n	n	n	19.441	0.115	n	n
58855.60	n	n	n	n	n	n	n	n	n	n	n	n	18.748	0.086
58859.30	n	n	n	n	n	n	n	n	n	n	n	n	18.856	0.204
58859.40	n	n	n	n	n	n	n	n	n	n	n	n	18.91	0.154
58859.50	n	n	n	n	n	n	n	n	n	n	19.416	0.27	18.862	0.117
58859.60	n	n	n	n	n	n	n	n	n	n	19.489	0.215	n	n
58860.30	n	n	n	n	n	n	n	n	n	n	n	n	18.759	0.144
58861.50	n	n	n	n	n	n	n	n	n	n	19.418	0.214	n	n
58861.60	n	n	n	n	n	n	n	n	n	n	n	n	18.695	0.109
58862.40	n	n	n	n	n	n	n	n	n	n	19.601	0.265	18.897	0.11
58862.50	n	n	n	n	n	n	n	n	n	n	19.517	0.213	n	n
58864.30	n	n	n	n	n	n	n	n	n	n	n	n	18.906	0.093
58866.40	n	n	n	n	n	n	n	n	n	n	19.683	0.162	n	n
58866.50	n	n	n	n	n	n	n	n	n	n	n	n	18.952	0.098
58867.40	n	n	n	n	n	n	n	n	n	n	19.642	0.135	n	n
58867.50	n	n	n	n	n	n	n	n	n	n	n	n	18.92	0.089
58871.40	n	n	n	n	n	n	n	n	n	n	19.659	0.116	n	n
58871.50	n	n	n	n	n	n	n	n	n	n	19.63	0.166	19.005	0.112
58872.40	n	n	n	n	n	n	n	n	n	n	19.699	0.163	n	n
58873.30	n	n	n	n	n	n	n	n	n	n	n	n	18.983	0.094
58873.40	n	n	n	n	n	n	n	n	n	n	19.676	0.124	n	n
58873.50	n	n	n	n	n	n	n	n	n	n	n	n	19.029	0.097
58874.30	n	n	n	n	n	n	n	n	n	n	n	n	19.185	0.12
58874.40	n	n	n	n	n	n	n	n	n	n	19.643	0.184	n	n
58875.30	n	n	n	n	n	n	n	n	n	n	n	n	19.142	0.108
58875.40	n	n	n	n	n	n	n	n	n	n	19.633	0.174	n	n
58875.50	n	n	n	n	n	n	n	n	n	n	n	n	19.148	0.108
58876.30	n	n	n	n	n	n	n	n	n	n	n	n	19.077	0.094
58876.40	n	n	n	n	n	n	n	n	n	n	19.757	0.132	n	n
58876.50	n	n	n	n	n	n	n	n	n	n	19.793	0.183	n	n
58877.30	n	n	n	n	n	n	n	n	n	n	n	n	19.175	0.144
58877.40	n	n	n	n	n	n	n	n	n	n	19.686	0.132	n	n
58877.50	n	n	n	n	n	n	n	n	n	n	19.794	0.162	19.099	0.102
58878.30	n	n	n	n	n	n	n	n	n	n	n	n	19.107	0.134
58878.40	n	n	n	n	n	n	n	n	n	n	19.603	0.139	19.088	0.149
58878.50	n	n	n	n	n	n	n	n	n	n	19.699	0.181	n	n
58879.25	n	n	n	n	n	n	n	n	n	n	19.463	0.266	19.259	0.171
58879.40	n	n	n	n	n	n	n	n	n	n	n	n	19.113	0.171
58879.50	n	n	n	n	n	n	n	n	n	n	19.784	0.215	n	n
58880.50	n	n	n	n	n	n	n	n	n	n	19.75	0.159	19.138	0.096
58881.30	n	n	n	n	n	n	n	n	n	n	n	n	19.155	0.102
58881.40	n	n	n	n	n	n	n	n	n	n	n	n	19.091	0.096
58881.50	n	n	n	n	n	n	n	n	n	n	19.755	0.16	19.069	0.096
58883.40	n	n	n	n	n	n	n	n	n	n	19.7	0.15	n	n
58883.50	n	n	n	n	n	n	n	n	n	n	19.742	0.195	19.208	0.16
58884.50	n	n	n	n	n	n	n	n	n	n	19.77	0.205	19.125	0.174
58885.20	n	n	n	n	n	n	n	n	n	n	n	n	19.224	0.241
58885.40	n	n	n	n	n	n	n	n	n	n	19.817	0.318	n	n
58885.50	n	n	n	n	n	n	n	n	n	n	19.919	0.264	19.199	0.107
58886.30	n	n	n	n	n	n	n	n	n	n	n	n	19.194	0.174
58886.50	n	n	n	n	n	n	n	n	n	n	19.721	0.234	19.243	0.147
58887.30	n	n	n	n	n	n	n	n	n	n	19.503	0.295	n	n
58887.50	n	n	n	n	n	n	n	n	n	n	n	n	19.188	0.161
58888.40	n	n	n	n	n	n	n	n	n	n	n	n	19.242	0.244
58888.50	n	n	n	n	n	n	n	n	n	n	n	n	19.482	0.254
58890.40	n	n	n	n	n	n	n	n	n	n	n	n	19.194	0.217
58891.30	n	n	n	n	n	n	n	n	n	n	n	n	19.233	0.132
58891.40	n	n	n	n	n	n	n	n	n	n	19.947	0.253	n	n
58891.50	n	n	n	n	n	n	n	n	n	n	n	n	19.216	0.15
58892.30	n	n	n	n	n	n	n	n	n	n	n	n	19.296	0.145
58892.40	n	n	n	n	n	n	n	n	n	n	19.878	0.275	n	n
58893.25	n	n	n	n	n	n	n	n	n	n	19.943	0.187	19.343	0.126
58893.40	n	n	n	n	n	n	n	n	n	n	19.952	0.269	n	n
58893.50	n	n	n	n	n	n	n	n	n	n	n	n	19.405	0.13
58894.30	n	n	n	n	n	n	n	n	n	n	20.085	0.214	n	n
58894.50	n	n	n	n	n	n	n	n	n	n	n	n	19.303	0.112
58895.20	n	n	n	n	n	n	n	n	n	n	19.992	0.171	n	n
58895.40	n	n	n	n	n	n	n	n	n	n	19.964	0.18	n	n
58895.50	n	n	n	n	n	n	n	n	n	n	n	n	19.367	0.121
58898.40	n	n	n	n	n	n	n	n	n	n	19.994	0.14	19.44	0.099
58898.50	n	n	n	n	n	n	n	n	n	n	n	n	19.391	0.126
58899.30	n	n	n	n	n	n	n	n	n	n	n	n	19.435	0.114
58899.40	n	n	n	n	n	n	n	n	n	n	19.938	0.156	n	n
58899.50	n	n	n	n	n	n	n	n	n	n	n	n	19.443	0.136
58900.30	n	n	n	n	n	n	n	n	n	n	19.965	0.162	19.386	0.12
58900.40	n	n	n	n	n	n	n	n	n	n	19.952	0.152	19.346	0.184
58901.40	n	n	n	n	n	n	n	n	n	n	n	n	19.442	0.126
58903.30	n	n	n	n	n	n	n	n	n	n	20.143	0.196	n	n
58903.40	n	n	n	n	n	n	n	n	n	n	20.123	0.194	19.446	0.112
58904.30	n	n	n	n	n	n	n	n	n	n	19.985	0.144	n	n
58904.40	n	n	n	n	n	n	n	n	n	n	19.99	0.261	n	n
58904.50	n	n	n	n	n	n	n	n	n	n	n	n	19.443	0.128
